

fe80::c6f5:7cff:feab:b203%enp0s3,admin,UCPMSP.abb203,Unknown,Unknown
fe80::c6f5:7cff:fe4d:4ae8%enp0s3,admin,UCPMSP.4d4ae8,Unknown,Unknown
fe80::8e94:61ff:fe1e:fd34%enp0s3,admin,UCPMSP.1efd34,Nexus9316D,C9316D-GX
fe80::8e94:61ff:fe1e:fca8%enp0s3,admin,UCPMSP.1efca8,Nexus9316D,C9316D-GX
fe80::5eb1:2eff:fedc:d7dc%enp0s3,admin,UCPMSP.dcd7dc,Nexus93180YCFX3,93180YC-FX3
fe80::5eb1:2eff:fedc:d840%enp0s3,admin,UCPMSP.dcd840,Nexus93180YCFX3,93180YC-FX3
fe80::de0b:9ff:fe60:23a0%enp0s3,admin,UCPMSP.6023a0,Nexus92348,C92348GC-X
